3,88.683,87.349,88.419,87.862
4,88.458,87.721,87.904,88.195
5,89.797,88.189,88.190,89.048
1,89.318,88.313,88.924,88.600
2,89.944,88.565,88.590,89.612
3,89.976,89.381,89.590,89.772
4,90.363,89.560,89.798,89.959
5,90.902,88.970,89.951,90.449
1,91.225,90.237,90.312,91.168
2,91.862,90.998,91.176,91.823
3,91.869,91.305,91.820,91.624
4,91.770,91.121,91.664,91.533
1,91.761,91.392,91.408,91.619
2,92.072,91.520,91.627,91.989
3,92.755,91.898,91.971,92.432
4,93.140,91.902,92.417,93.006
1,93.202,92.183,92.960,92.507
2,92.542,91.242,92.513,91.697
3,92.732,91.516,91.704,92.309
4,93.395,92.102,92.316,93.332
5,93.766,92.278,93.300,92.645
1,92.655,91.805,92.584,92.077
2,92.420,90.718,92.058,90.969
3,91.558,90.898,90.993,91.368
4,92.032,90.836,91.369,91.201
5,91.316,90.601,91.206,90.826
1,91.058,90.620,90.760,90.781
2,91.259,90.309,90.764,91.140
