Date,Open,High,Low,Close,Volume,Adj Close
7/16/2014,198.110001,198.259995,197.419998,197.960007,79986400,193.137701
7/15/2014,197.720001,198.100006,196.360001,197.229996,111307000,192.425473
7/14/2014,197.610001,197.860001,197.440002,197.600006,58658000,192.78647
7/11/2014,196.220001,196.75,195.779999,196.610001,64243000,191.820581
7/10/2014,195.220001,196.860001,195.059998,196.339996,99040000,191.557154
7/9/2014,196.729996,197.300003,196.309998,197.119995,72992000,192.318152
7/8/2014,197.149994,197.220001,195.759995,196.240005,108143000,191.459599
7/7/2014,197.820007,197.979996,197.220001,197.509995,61696000,192.698651
7/3/2014,197.789993,198.289993,197.639999,198.199997,52938800,193.371845
7/2/2014,197.050003,197.479996,196.960007,197.229996,52475000,192.425473
7/1/2014,196.199997,197.630005,196.130005,197.029999,90470000,192.230348
6/30/2014,195.699997,196.169998,195.529999,195.720001,70201200,190.952262
6/27/2014,194.979996,195.880005,194.889999,195.820007,71445100,191.049832
6/26/2014,195.610001,195.630005,194.130005,195.440002,84312000,190.679084
6/25/2014,194.289993,195.779999,194.25,195.580002,82782000,190.815673
6/24/2014,195.529999,196.5,194.479996,194.699997,96237000,189.957105
6/23/2014,195.990005,196.050003,195.520004,195.880005,70611000,191.108368
6/20/2014,196.029999,196.100006,195.699997,195.940002,100587000,191.166904
6/19/2014,196.429993,196.600006,195.800003,196.479996,85929000,190.779573
6/18/2014,194.830002,196.369995,194.399994,196.259995,105267000,190.565954
6/17/2014,194.020004,194.970001,193.809998,194.830002,84834000,189.17745
6/16/2014,193.889999,194.699997,193.660004,194.289993,87424000,188.653108
6/13/2014,193.919998,194.320007,193.300003,194.130005,82017000,188.497762
6/12/2014,194.690002,194.800003,193.110001,193.539993,106350000,187.924868
6/11/2014,194.899994,195.119995,194.479996,194.919998,68772000,189.264835
6/10/2014,195.339996,195.639999,194.919998,195.600006,57129000,189.925114
6/9/2014,195.350006,196.050003,195.169998,195.580002,65119000,189.90569
6/6/2014,194.869995,195.429993,194.779999,195.380005,78696000,189.711496
6/5/2014,193.410004,194.649994,192.699997,194.449997,92103000,188.80847
6/4/2014,192.470001,193.300003,192.270004,193.190002,55529000,187.585031
6/3/2014,192.429993,192.899994,192.25,192.800003,65047000,187.206347
6/2/2014,192.949997,192.990005,191.970001,192.899994,64656000,187.303437
5/30/2014,192.190002,192.800003,192.029999,192.679993,76316000,187.089818
5/29/2014,191.820007,192.399994,191.330002,192.369995,64377000,186.788815
5/28/2014,191.520004,191.820007,191.059998,191.380005,66723000,185.827547
5/27/2014,191.059998,191.580002,190.949997,191.520004,72010000,185.963484
5/23/2014,189.759995,190.479996,189.589996,190.350006,61092800,184.827431
5/22/2014,189.179993,189.979996,188.860001,189.589996,61549000,184.089471
5/21/2014,188.089996,189.220001,188.059998,189.130005,89093000,183.642825
5/20/2014,188.649994,188.669998,187.070007,187.550003,111644000,182.108664
5/19/2014,187.690002,188.889999,187.520004,188.740005,63839000,183.264141
5/16/2014,187.509995,188.130005,186.720001,188.050003,97458000,182.594157
5/15/2014,188.679993,188.720001,186.479996,187.399994,154956000,181.963007
5/14/2014,189.789993,189.880005,188.789993,189.059998,72367000,183.574849
5/13/2014,190.039993,190.419998,189.770004,189.960007,66454000,184.448746
5/12/2014,188.800003,189.880005,188,189.789993,86940000,184.283666
5/9/2014,187.710007,188.039993,186.830002,187.960007,83679000,182.506772
5/8/2014,187.710007,189.050003,187.080002,187.679993,93618000,182.234882
5/7/2014,187.410004,187.970001,186.009995,187.880005,106500000,182.429091
5/6/2014,188,188.130005,186.740005,186.779999,85454000,181.360999
5/5/2014,187.139999,188.550003,186.619995,188.419998,75883000,182.953418
5/2/2014,188.309998,189.139999,187.779999,188.059998,98122000,182.603862
5/1/2014,188.220001,188.839996,187.729996,188.330002,93019000,182.866033
4/30/2014,187.440002,188.5,187.179993,188.309998,101508000,182.846609
4/29/2014,187.479996,188.039993,187.080002,187.75,84098000,182.302858
4/28/2014,187.050003,187.690002,184.960007,186.880005,135121000,181.458104
4/25/2014,187.220001,187.330002,185.869995,186.289993,100380000,180.88521
4/24/2014,188.369995,188.389999,186.929993,187.830002,88170000,182.380539
4/23/2014,187.820007,187.919998,187.300003,187.449997,73869000,182.011559
4/22/2014,187.229996,188.399994,187.130005,187.889999,85790000,182.438796
4/21/2014,186.440002,187.100006,186.210007,187.039993,68329000,181.613451
4/17/2014,185.880005,186.910004,185.559998,186.389999,105255000,180.982315
4/16/2014,185.470001,186.139999,184.649994,186.130005,105197000,180.729864
4/15/2014,183.320007,184.330002,181.509995,184.199997,157093000,178.85585
4/14/2014,182.929993,183.369995,181.440002,182.940002,132382000,177.632412
4/11/2014,182.139999,183.419998,181.309998,181.509995,167251000,176.243892
4/10/2014,187.080002,187.169998,182.929993,183.160004,172959000,177.84603
4/9/2014,185.600006,187.149994,185.059998,187.089996,100254000,181.662003
4/8/2014,184.259995,185.399994,183.589996,185.100006,112660000,179.729748
4/7/2014,185.949997,186.259995,183.960007,184.339996,140803000,178.991788
4/4/2014,189.660004,189.699997,186.100006,186.399994,169381000,180.992019
4/3/2014,189.169998,189.220001,188.050003,188.630005,77435000,183.157332
4/2/2014,188.490005,189.130005,188.139999,188.880005,78774000,183.400078
4/1/2014,187.619995,188.360001,187,188.25,89193000,182.788352
3/31/2014,186.669998,187.300003,185.520004,187.009995,99745000,181.584322
3/28/2014,185.110001,186.419998,185,185.490005,101642000,180.108432
3/27/2014,184.75,185.339996,183.899994,184.580002,142383000,179.22483
3/26/2014,187.039993,187.339996,184.919998,184.970001,119843000,179.603515
3/25/2014,186.369995,186.940002,185.270004,186.309998,103852000,180.904634
3/24/2014,186.839996,187.070007,184.619995,185.429993,121411000,180.050161
